INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,FINNIFTY  ,01/11/2022,00018800.00,CE      ,00000002.00,00000009.40,00000000.05,00000000.15,000000001478560,        119433560,          2985839,           683086,  2245741139400.00,      390211400.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018800.00,PE      ,00000196.80,00000239.60,00000080.70,00000196.45,000000000039440,         12900840,           322521,           218291,   244336936288.00,     1801144288.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018850.00,CE      ,00000002.70,00000003.65,00000000.05,00000000.10,000000000643640,         39919360,           997984,           220528,   752529783014.00,       49847014.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018850.00,PE      ,00000232.95,00000288.75,00000126.00,00000245.05,000000000012560,           541520,            13538,            11116,    10302130288.00,       94478288.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018900.00,CE      ,00000001.60,00000003.95,00000000.05,00000000.10,000000001052400,         39431160,           985779,           168150,   745279426328.00,       30502328.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018900.00,PE      ,00000285.40,00000335.50,00000174.80,00000291.80,000000000014480,          1054160,            26354,            19645,    20163105442.00,      239481442.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018950.00,CE      ,00000000.50,00000001.40,00000000.05,00000000.10,000000000467560,          9139720,           228493,            46325,   173202848660.00,        5154660.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018950.00,PE      ,00000243.60,00000376.00,00000227.00,00000376.00,000000000000560,              880,              022,              011,       16927828.00,         251828.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019000.00,CE      ,00000000.80,00000001.40,00000000.05,00000000.10,000000001675840,         19693440,           492336,            52625,   374184165942.00,        8805942.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019000.00,PE      ,00000375.65,00000432.85,00000275.00,00000392.15,000000000010800,           107280,             2682,             1306,     2077099362.00,       38779362.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019050.00,CE      ,00000000.70,00000001.10,00000000.05,00000000.10,000000000072800,          1733160,            43329,             8659,    33017369242.00,         671242.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019100.00,CE      ,00000000.55,00000000.90,00000000.05,00000000.10,000000000422000,          3596320,            89908,            12530,    68690943236.00,        1231236.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019150.00,CE      ,00000000.50,00000001.60,00000000.05,00000000.10,000000000054280,           305960,             7649,             1586,     5859218672.00,          84672.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019200.00,CE      ,00000000.30,00000000.60,00000000.05,00000000.10,000000000452200,          1744360,            43609,             5059,    33492208154.00,         496154.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019250.00,CE      ,00000000.40,00000000.45,00000000.05,00000000.10,000000000042560,           124360,             3109,              641,     2393963940.00,          33940.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019300.00,CE      ,00000000.20,00000000.40,00000000.05,00000000.10,000000000320440,           752240,            18806,             2584,    14518422418.00,         190418.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019350.00,CE      ,00000000.10,00000001.30,00000000.05,00000000.10,000000000010080,            27240,              681,              216,      527101920.00,           7920.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019400.00,CE      ,00000000.50,00000000.50,00000000.05,00000000.05,000000000105720,           300960,             7524,             1270,     5838692292.00,          68292.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019450.00,CE      ,00000000.20,00000000.45,00000000.05,00000000.05,000000000005360,            26920,              673,              106,      523599280.00,           5280.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019500.00,CE      ,00000000.35,00000000.50,00000000.05,00000000.05,000000000214280,           807320,            20183,             1936,    15742893992.00,         153992.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019550.00,CE      ,00000000.15,00000000.20,00000000.15,00000000.15,000000000001920,             1920,              048,              033,       37536290.00,            290.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019600.00,CE      ,00000000.50,00000002.80,00000000.05,00000000.05,000000000023600,           100760,             2519,              480,     1974914240.00,          18240.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019700.00,CE      ,00000000.15,00000000.30,00000000.05,00000000.05,000000000006520,            21400,              535,              174,      421582796.00,           2796.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019800.00,CE      ,00000000.10,00000000.30,00000000.05,00000000.05,000000000004000,            12880,              322,              102,      255026030.00,           2030.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00019900.00,CE      ,00000000.05,00000000.15,00000000.05,00000000.10,000000000001360,             1400,              035,              018,       27860130.00,            130.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00020000.00,CE      ,00000000.10,00000000.25,00000000.05,00000000.05,000000000013160,            26880,              672,              175,      537604024.00,           4024.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017400.00,PE      ,00000008.05,00000009.75,00000003.65,00000007.35,000000000001320,             1000,              025,              018,       17407262.00,           7262.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017600.00,PE      ,00000010.95,00000010.95,00000004.50,00000009.50,000000000000120,              360,              009,              005,        6338392.00,           2392.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017650.00,PE      ,00000022.00,00000022.00,00000001.10,00000004.80,000000000000560,             2280,              057,              030,       40264204.00,          22204.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017700.00,PE      ,00000012.95,00000014.05,00000008.50,00000010.00,000000000006200,            10680,              267,              143,      189148284.00,         112284.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017800.00,PE      ,00000019.00,00000019.00,00000011.10,00000011.40,000000000000400,              680,              017,              009,       12114478.00,          10478.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017900.00,PE      ,00000024.50,00000024.50,00000014.10,00000019.25,000000000000240,              520,              013,              012,        9318178.00,          10178.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00017950.00,PE      ,00000033.55,00000033.55,00000033.55,00000033.55,000000000000200,              200,              005,              001,        3596710.00,           6710.00
OPTIDX    ,FINNIFTY  ,07/11/2022,00018000.00,PE      ,00000052.75,00000052.75,00000020.05,00000023.90,000000000007440,            18680,              467,              219,      336718714.00,         478714.00
